Score,loss,acc,val_loss,val_acc
0.98269999,0.280409249,0.918375015,0.13192523,0.959166646
0.98269999,0.092863941,0.97185415,0.10069861,0.969916642
0.98269999,0.054964348,0.98299998,0.077159024,0.976000011
0.98269999,0.038407944,0.987604141,0.091999066,0.971499979
0.98269999,0.02961571,0.99035418,0.098529858,0.974166691
0.98269999,0.025819626,0.991520822,0.102271133,0.97541666
0.98269999,0.015249912,0.995333314,0.093216622,0.977833331
0.98269999,0.017225576,0.994083345,0.120610201,0.973666668
0.98269999,0.014477696,0.995229185,0.094031635,0.978666663
0.98269999,0.010629151,0.99666667,0.099619283,0.978083313
0.98269999,0.014320214,0.995270848,0.113607858,0.975333333
0.98269999,0.010606951,0.99620831,0.101513003,0.978416681
0.98269999,0.015077736,0.995229185,0.107057838,0.977333307
0.98269999,0.009532059,0.996604145,0.125056566,0.976249993
0.98269999,0.010914871,0.996104181,0.110683638,0.976666689
0.98269999,0.00782551,0.99758333,0.102338964,0.979583323
0.98269999,0.008561484,0.997104168,0.122668198,0.977083325
0.98269999,0.005553657,0.998145819,0.102673416,0.980916679
0.98269999,0.003992396,0.998604178,0.128532352,0.97724998
0.98269999,0.009510113,0.996979177,0.113924039,0.978999972
0.981599987,0.274408324,0.920166671,0.138382422,0.959083319
0.981599987,0.092750373,0.971604168,0.094481652,0.971499979
0.981599987,0.056995398,0.982208312,0.086736999,0.973416686
0.981599987,0.037246344,0.988250017,0.086296236,0.97483331
0.981599987,0.028037621,0.990541637,0.097197393,0.973166645
0.981599987,0.023280002,0.992354155,0.084348896,0.978083313
0.981599987,0.017894034,0.993729174,0.102473794,0.973583341
0.981599987,0.018530147,0.99368751,0.09317875,0.976249993
0.981599987,0.013258948,0.995479167,0.11110404,0.974666655
0.981599987,0.013268992,0.99552083,0.111367206,0.974583328
0.981599987,0.011858651,0.995791674,0.108402364,0.974916637
0.981599987,0.011779544,0.996333361,0.104789057,0.976166666
0.981599987,0.010947878,0.996520817,0.114706689,0.975333333
0.981599987,0.006021219,0.997833312,0.116462493,0.978416681
0.981599987,0.008597911,0.997145832,0.121398542,0.975583315
0.981599987,0.015761522,0.995000005,0.102058299,0.978083313
0.981599987,0.008401683,0.997479141,0.098817638,0.980250001
0.981599987,0.00626157,0.997979164,0.112090032,0.977166653
0.981599987,0.007161851,0.997874975,0.098965128,0.980000019
0.981599987,0.005457573,0.998562515,0.098967683,0.980166674
0.979900002,0.27671611,0.918333352,0.122894487,0.963333309
0.979900002,0.094150428,0.971416652,0.08898063,0.972833335
0.979900002,0.055138083,0.98287499,0.088798335,0.972833335
0.979900002,0.040975987,0.986916661,0.092734279,0.973749995
0.979900002,0.028866259,0.990916669,0.098642599,0.973083317
0.979900002,0.017848107,0.994208336,0.097338323,0.97483331
0.979900002,0.02081959,0.993083358,0.091499949,0.976833344
0.979900002,0.016407512,0.994708359,0.094814882,0.975166678
0.979900002,0.016390131,0.994624972,0.085671869,0.977666676
0.979900002,0.01062286,0.996749997,0.093212843,0.978999972
0.979900002,0.013882895,0.995458305,0.091455547,0.977833331
0.979900002,0.01376938,0.995000005,0.116535264,0.976666689
0.979900002,0.011272473,0.996124983,0.10610578,0.977833331
0.979900002,0.006332176,0.998041689,0.116094339,0.978833318
0.979900002,0.009731568,0.997229159,0.125810165,0.975083351
0.979900002,0.012476027,0.995999992,0.115218263,0.978416681
0.979900002,0.005451508,0.998250008,0.097475351,0.980166674
0.979900002,0.00995024,0.996770859,0.124700451,0.978416681
0.979900002,0.007065571,0.997687519,0.102299669,0.980666637
0.979900002,0.008819026,0.997166693,0.112221497,0.979333341
0.977999985,0.290032694,0.915250003,0.133035041,0.960333347
0.977999985,0.091482706,0.972062528,0.09174289,0.972333312
0.977999985,0.056857157,0.981791675,0.091419219,0.9745
0.977999985,0.036038642,0.988312483,0.082920201,0.976249993
0.977999985,0.026595511,0.991229177,0.081795581,0.976083338
0.977999985,0.023817528,0.992104173,0.087221698,0.977999985
0.977999985,0.018036105,0.994291663,0.08963347,0.975583315
0.977999985,0.015380113,0.994708359,0.097417798,0.977500021
0.977999985,0.014098474,0.99552083,0.107462439,0.974416673
0.977999985,0.013871857,0.995500028,0.098455404,0.978250027
0.977999985,0.008157086,0.997104168,0.090831601,0.981416643
0.977999985,0.010523852,0.996562481,0.112102717,0.977750003
0.977999985,0.013697981,0.99552083,0.106053748,0.977416694
0.977999985,0.008610066,0.997083306,0.105637577,0.978666663
0.977999985,0.01144724,0.996124983,0.109393873,0.977583349
0.977999985,0.008750643,0.997041643,0.117521221,0.97816664
0.977999985,0.008031394,0.997291684,0.117769333,0.977999985
0.977999985,0.009231037,0.997020841,0.104234757,0.979250014
0.977999985,0.004762122,0.99849999,0.101182938,0.981666684
0.977999985,0.006694026,0.997895837,0.125401216,0.977333307
0.976700008,0.280847051,0.915979147,0.12854108,0.962416649
0.976700008,0.09184976,0.972229183,0.089627046,0.971833348
0.976700008,0.057145501,0.982520819,0.088214716,0.972583354
0.976700008,0.037657899,0.988208354,0.099377194,0.972000003
0.976700008,0.029490437,0.990166664,0.081692622,0.977916658
0.976700008,0.018805163,0.994083345,0.083387137,0.978333354
